 Total Nb of available Diagnostics: ndiagt=   329
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTSTEND|120 |       |SMR     MR|psu/day         |Tendency of Salinity
   101 |MoistCor|120 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   102 |gT_Forc |120 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   103 |gS_Forc |120 |       |SMR     MR|psu/s           |Salinity forcing tendency
   104 |AB_gT   |120 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   105 |AB_gS   |120 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   106 |gTinAB  |120 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   107 |gSinAB  |120 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   108 |AB_gU   |120 |   109 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   109 |AB_gV   |120 |   108 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   110 |ADVr_TH |120 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   111 |ADVx_TH |120 |   112 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   112 |ADVy_TH |120 |   111 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   113 |DFrE_TH |120 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   114 |DFxE_TH |120 |   115 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   115 |DFyE_TH |120 |   114 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   116 |DFrI_TH |120 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   117 |ADVr_SLT|120 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   118 |ADVx_SLT|120 |   119 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   119 |ADVy_SLT|120 |   118 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   120 |DFrE_SLT|120 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   121 |DFxE_SLT|120 |   122 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   122 |DFyE_SLT|120 |   121 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   123 |DFrI_SLT|120 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   124 |SALTFILL|120 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   125 |VISCAHZ |120 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   126 |VISCA4Z |120 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   127 |VISCAHD |120 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   128 |VISCA4D |120 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   129 |VISCAHW |120 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   130 |VISCA4W |120 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   131 |VAHZMAX |120 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   132 |VA4ZMAX |120 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   133 |VAHDMAX |120 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   134 |VA4DMAX |120 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   135 |VAHZMIN |120 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   136 |VA4ZMIN |120 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   137 |VAHDMIN |120 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   138 |VA4DMIN |120 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   139 |VAHZLTH |120 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   140 |VA4ZLTH |120 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   141 |VAHDLTH |120 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   142 |VA4DLTH |120 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   143 |VAHZLTHD|120 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   144 |VA4ZLTHD|120 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   145 |VAHDLTHD|120 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   146 |VA4DLTHD|120 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   147 |VAHZLTHQ|120 |       |SZ      MR|m^2/s           |LeithQG Harm Visc Coefficient (m2/s) (Zeta Pt)
   148 |VAHDLTHQ|120 |       |SM      MR|m^2/s           |LeithQG Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VAHZSMAG|120 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   150 |VA4ZSMAG|120 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   151 |VAHDSMAG|120 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   152 |VA4DSMAG|120 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   153 |momKE   |120 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   154 |momHDiv |120 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   155 |momVort3|120 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   156 |Strain  |120 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   157 |Tension |120 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   158 |Stretch |120 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   159 |UBotDrag|120 |   160 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   160 |VBotDrag|120 |   159 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   161 |USidDrag|120 |   162 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   162 |VSidDrag|120 |   161 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   163 |Um_Diss |120 |   164 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   164 |Vm_Diss |120 |   163 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   165 |Um_Advec|120 |   166 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   166 |Vm_Advec|120 |   165 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   167 |Um_Cori |120 |   168 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   168 |Vm_Cori |120 |   167 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   169 |Um_dPHdx|120 |   170 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   170 |Vm_dPHdy|120 |   169 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   171 |Um_Ext  |120 |   172 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   172 |Vm_Ext  |120 |   171 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   173 |Um_AdvZ3|120 |   174 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   174 |Vm_AdvZ3|120 |   173 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   175 |Um_AdvRe|120 |   176 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   176 |Vm_AdvRe|120 |   175 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   177 |ADVx_Um |120 |   178 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   178 |ADVy_Um |120 |   177 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   179 |ADVrE_Um|120 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   180 |ADVx_Vm |120 |   181 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   181 |ADVy_Vm |120 |   180 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   182 |ADVrE_Vm|120 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   183 |VISCx_Um|120 |   184 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   184 |VISCy_Um|120 |   183 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   185 |VISrE_Um|120 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   186 |VISrI_Um|120 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   187 |VISCx_Vm|120 |   188 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   188 |VISCy_Vm|120 |   187 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   189 |VISrE_Vm|120 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   190 |VISrI_Vm|120 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   191 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   192 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   193 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   194 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   195 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   196 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   197 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   198 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   199 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   201 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   202 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   203 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   204 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   205 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   206 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   207 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   208 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   209 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   210 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   211 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   212 |EXFsalfx|  1 |       |SM      U1|psu.kg/m^2/s    |upward salt flux, > 0 decreases salinity
   213 |KPPviscA|120 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   214 |KPPdiffS|120 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   215 |KPPdiffT|120 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   216 |KPPghatK|120 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   217 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   218 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   219 |KPPdbsfc|120 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   220 |KPPbfsfc|120 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   221 |KPPRi   |120 |       |SM P    UR|non-dimensional |Bulk Richardson number
   222 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   223 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   224 |KPPdbloc|120 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   225 |KPPnuddt|120 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   226 |KPPnudds|120 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   227 |KPPg_TH |120 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   228 |KPPg_SLT|120 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   229 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   230 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   231 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   232 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   233 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   234 |SubMpsiX|  1 |   235 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   235 |SubMpsiY|  1 |   234 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   236 |GM_Kux  |120 |   237 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   237 |GM_Kvy  |120 |   236 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   238 |GM_Kuz  |120 |   239 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   239 |GM_Kvz  |120 |   238 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   240 |GM_Kwx  |120 |   241 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   241 |GM_Kwy  |120 |   240 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   242 |GM_Kwz  |120 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   243 |GM_PsiX |120 |   244 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   244 |GM_PsiY |120 |   243 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   245 |GM_KuzTz|120 |   246 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   246 |GM_KvzTz|120 |   245 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   247 |GM_KwzTz|120 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   248 |GM_ubT  |120 |   249 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   249 |GM_vbT  |120 |   248 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   250 |SHIfwFlx|  1 |       |SM      L1|kg/m^2/s        |Ice shelf fresh water flux (positive upward)
   251 |SHIhtFlx|  1 |       |SM      L1|W/m^2           |Ice shelf heat flux  (positive upward)
   252 |SHIUDrag|120 |   253 |UU      MR|m/s^2           |U momentum tendency from ice shelf drag
   253 |SHIVDrag|120 |   252 |VV      MR|m/s^2           |V momentum tendency from ice shelf drag
   254 |SHIForcT|  1 |       |SM      L1|W/m^2           |Ice shelf forcing for theta, >0 increases theta
   255 |SHIForcS|  1 |       |SM      L1|g/m^2/s         |Ice shelf forcing for salt, >0 increases salt
   256 |SHIgammT|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for theta
   257 |SHIgammS|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for salt
   258 |SHIuStar|  1 |       |SM      L1|m/s             |Friction velocity at bottom of ice shelf
   259 |SHI_mass|  1 |       |SM      L1|kg/m^2          |dynamic ice shelf mass for surface load anomaly
   260 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
   261 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
   262 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
